Date, Time, Device ID, Chip ID, Lot, Wafer, X, Y, Q half-width, Q fit, dQ¸ %, Internal Resonant F, Internal Resonant A, Ajusted FG Ampl, FG Amplitude (0.10), Forced A, Forced F, Drive Gain, Frequency sweep¸start, Prelim Q  half-width, Prelim Q fit, Prelim Q Error¸ %, Execution time, Preliminary F, residue, 
9/25/2019, 7:06:31 PM, Unknown Device, 1044265747, 62, 62, 19, 59, 6818.11878176, 6785.85291052, 0.473237153414, 25198.5669194, 0.741704100146, 0.01, 0.01, 0.398985816214, 25196.7062498, 0, 25193.0069013, 6840.90036701, 6751.69264195, 1.30403485332, 47.763, 25196.6901431, 0.0300171156168, 
9/25/2019, 7:08:03 PM, Unknown Device, 1044265498, 62, 62, 26, 58, 7388.29889069, 7423.63236794, 0.478235623197, 25577.6853633, 0.751900304666, 0.01, 0.01, 0.409678451974, 25575.6417969, 0, 25572.2338627, 7276.16783522, 7257.78116715, 0.252697140622, 47.71, 25575.7488653, 0.0282941271473, 
9/25/2019, 7:09:30 PM, Unknown Device, 1044265755, 62, 62, 27, 59, 5639.19250013, 5614.6558225, 0.435109771953, 25666.5383728, 0.759152858672, 0.01, 0.01, 0.31812459117, 25664.4320473, 0, 25659.8706367, 5682.6586172, 5662.54798737, 0.353894738195, 47.773, 25664.3869008, 0.0166928945265, 
9/25/2019, 7:11:10 PM, Unknown Device, 1044261410, 62, 62, 34, 42, 5609.32965591, 5582.85078043, 0.472050621087, 25445.0610641, 0.78104428466, 0.01, 0.01, 0.337957521449, 25443.1884469, 0, 25438.7178732, 5768.12972133, 5703.95452515, 1.11258240155, 47.784, 25443.1288574, 0.0224867998103, 
9/25/2019, 7:12:32 PM, Unknown Device, 1044261667, 62, 62, 35, 43, 5125.47948361, 5121.49231345, 0.0777911642161, 25475.7370581, 0.739477931941, 0.01, 0.01, 0.279365595986, 25473.2981562, 0, 25468.3936649, 5144.12017669, 5114.27116332, 0.580254977525, 47.736, 25473.3455992, 0.010555596288, 
9/25/2019, 7:15:25 PM, Unknown Device, 1044261675, 62, 62, 43, 43, 1184.66311601, 1184.66152975, 0.000133900130539, 25957.0046334, 0.747174696263, 0.0599500343062, 0.01, 0.200611779527, 25957.6101421, 0, 25935.7311069, 1187.10212259, 1186.57027833, 0.0448018961886, 53.613, 25957.5974627, 0.00872959756318, 
9/25/2019, 7:16:50 PM, Unknown Device, 1044265522, 62, 62, 50, 58, 196.599913909, 200.025051959, 1.7421869529, 25901.8283771, 0.699389151304, 0.381125168907, 0.01, 0.200275921311, 25915.6315548, 0, 25782.3325912, 195.810182991, 199.87350362, 2.0751324401, 53.52, 25914.6785096, 0.00520626773694, 
9/25/2019, 7:19:21 PM, Unknown Device, 0, 0, 0, 0, 0, 188.553084861, 191.987687315, 1.8215572856, 25924.4269694, 0.74632887379, 0.361034184643, 0.01, 0.201178287385, 25939.7277623, 0, 25799.20951, 186.855494319, 191.35419467, 2.40758259065, 53.562, 25938.0227832, 0.00848700342141, 
9/25/2019, 7:20:51 PM, Unknown Device, 1044265787, 62, 62, 59, 59, 567.55287913, 572.37379511, 0.849421464878, 24978.3774182, 0.736082267355, 0.127046427136, 0.01, 0.199435901313, 24981.9284847, 0, 24937.9051502, 566.324551738, 571.338345611, 0.885321651241, 53.596, 24982.0176959, 0.00689891157413, 
9/25/2019, 7:22:32 PM, Unknown Device, 1061040915, 62, 63, 19, 51, 6809.47829771, 6805.62699249, 0.0565580071489, 24927.100759, 0.741798252433, 0.01, 0.01, 0.401237087318, 24924.715729, 0, 24921.0902424, 6738.78595196, 6641.92610738, 1.43734858579, 47.795, 24924.7889485, 0.0199121507866, 
9/25/2019, 7:24:19 PM, Unknown Device, 1061042971, 62, 63, 27, 59, 3321.10809057, 3316.89813651, 0.126763536355, 25500.2370389, 0.737015723192, 0.0145650419964, 0.01, 0.186963949093, 25498.1938606, 0, 25490.5822479, 3341.81683756, 3338.62438089, 0.0955305696589, 65.165, 25498.2122928, 0.0155723096812, 
9/25/2019, 7:25:57 PM, Unknown Device, 1061040931, 62, 63, 35, 51, 1455.39451344, 1455.34240124, 0.0035806235374, 25822.6416436, 0.726701578788, 0.0501618420515, 0.01, 0.198011320912, 25822.2700448, 0, 25804.5542752, 1451.12299312, 1451.33576407, 0.0146625025115, 53.566, 25822.3490101, 0.00737792935263, 
9/25/2019, 7:27:37 PM, Unknown Device, 1061042987, 62, 63, 43, 59, 285.881167621, 287.469511309, 0.555595774616, 25926.1464584, 0.683084488439, 0.354860704347, 0.01, 0.197407249179, 25935.443722, 0, 25841.8364787, 277.122158945, 281.164701712, 1.45875839811, 53.537, 25935.4248983, 0.079681717185, 
9/25/2019, 7:29:13 PM, Unknown Device, 1061040946, 62, 63, 50, 51, 239.928404632, 243.776888495, 1.60401344267, 25656.7900153, 0.759281665239, 0.285017581246, 0.01, 0.200454229159, 25668.981757, 0, 25560.8611539, 239.25820461, 243.352173892, 1.71110925477, 53.592, 25668.1433405, 0.00650159376721, 
9/25/2019, 7:30:42 PM, Unknown Device, 1061040947, 62, 63, 51, 51, 168.83258769, 171.488407174, 1.57304908994, 25658.9637156, 0.709514817421, 0.402717773083, 0.01, 0.201013590534, 25672.544157, 0, 25517.3993442, 167.344704251, 171.639373862, 2.56636123002, 53.48, 25670.8000759, 0.00622773370402, 
9/25/2019, 7:32:06 PM, Unknown Device, 1044265747, 62, 62, 19, 59, 6036.90169775, 6033.55148826, 0.0554955116609, 24148.118723, 0.75250943436, 0.01, 0.01, 0.319062839961, 24145.5053669, 0, 24141.5666514, 6000.98900244, 5918.59954364, 1.37293134122, 47.729, 24145.5902533, 0.0285780605013, 
9/25/2019, 7:33:32 PM, Unknown Device, 1044265755, 62, 62, 27, 59, 5769.25826854, 5725.38728966, 0.760426676046, 24885.0628586, 0.768180907352, 0.01, 0.01, 0.326404319919, 24882.2464049, 0, 24878.0113672, 5622.8974124, 5574.43612943, 0.861856075632, 47.797, 24882.4365656, 0.0114929321011, 
9/25/2019, 7:35:03 PM, Unknown Device, 1044265771, 62, 62, 43, 59, 471.494666233, 474.385457495, 0.613112187564, 25425.7584927, 0.711265183029, 0.160829650894, 0.01, 0.198661836852, 25430.3734606, 0, 25374.7355345, 459.122524999, 467.43920104, 1.81142845062, 53.605, 25430.1240695, 0.126007380086, 
